t,rhoc,errD,Mb,q00,q20,q22,vatm
39.989,1.2810508415e-03,9.319049e-04,1.5058475656e+00,1.5058261697e+00,1.1480485932e-14,-6.6451377486e-16,0.0000e+00
41.014,1.2809847292e-03,9.216252e-04,1.5058475861e+00,1.5058261913e+00,-2.6999705036e-15,1.3963897647e-16,0.0000e+00
42.040,1.2809067817e-03,9.188844e-04,1.5058476049e+00,1.5058262114e+00,-6.5919988442e-15,5.9237469864e-16,0.0000e+00
43.065,1.2808229784e-03,9.243069e-04,1.5058476220e+00,1.5058262299e+00,-2.1786589129e-16,-1.1433538244e-16,0.0000e+00
44.090,1.2807414146e-03,9.377095e-04,1.5058476373e+00,1.5058262466e+00,4.8371724893e-15,-3.3572946606e-16,0.0000e+00
45.116,1.2806706905e-03,9.577894e-04,1.5058476511e+00,1.5058262616e+00,7.6187608881e-15,9.8032934101e-16,0.0000e+00
46.141,1.2806179484e-03,9.828422e-04,1.5058476633e+00,1.5058262746e+00,-5.5295486285e-15,-1.6775651798e-15,0.0000e+00
47.167,1.2805872852e-03,1.011267e-03,1.5058476740e+00,1.5058262858e+00,-2.0073321207e-14,-1.4434859307e-15,0.0000e+00
48.192,1.2805790860e-03,1.041649e-03,1.5058476833e+00,1.5058262952e+00,-9.3465095459e-15,3.4588968225e-15,0.0000e+00
49.217,1.2805904125e-03,1.072742e-03,1.5058476911e+00,1.5058263029e+00,6.8441254132e-15,1.8096626878e-15,0.0000e+00
50.243,1.2806161729e-03,1.103472e-03,1.5058476976e+00,1.5058263089e+00,-5.2742326868e-15,9.3804329627e-17,0.0000e+00
51.268,1.2806505880e-03,1.132920e-03,1.5058477027e+00,1.5058263135e+00,1.5895031549e-14,1.8385024656e-15,0.0000e+00
52.293,1.2806885188e-03,1.160266e-03,1.5058477065e+00,1.5058263166e+00,6.5771541150e-15,-9.7570690342e-16,0.0000e+00
53.319,1.2807263793e-03,1.184718e-03,1.5058477090e+00,1.5058263185e+00,-7.0402242967e-16,-1.1673938475e-15,0.0000e+00
54.344,1.2807625118e-03,1.205458e-03,1.5058477103e+00,1.5058263192e+00,-4.1149631327e-15,-5.7029660607e-16,0.0000e+00
55.369,1.2807971143e-03,1.221623e-03,1.5058477102e+00,1.5058263186e+00,2.6062232238e-14,1.9789608570e-15,0.0000e+00
56.395,1.2808317407e-03,1.232317e-03,1.5058477089e+00,1.5058263167e+00,9.9729972570e-15,9.4419830362e-16,0.0000e+00
57.420,1.2808684817e-03,1.236669e-03,1.5058477063e+00,1.5058263135e+00,1.0057944499e-14,-2.6913234761e-16,0.0000e+00
58.446,1.2809089944e-03,1.233887e-03,1.5058477024e+00,1.5058263089e+00,-9.9927779787e-16,5.5350605076e-16,0.0000e+00
59.471,1.2809535632e-03,1.223310e-03,1.5058476972e+00,1.5058263029e+00,6.8569731275e-15,-9.2325862333e-16,0.0000e+00
60.496,1.2810004909e-03,1.204444e-03,1.5058476906e+00,1.5058262955e+00,-5.1631426633e-15,1.0547327151e-15,0.0000e+00
61.522,1.2810460066e-03,1.176967e-03,1.5058476826e+00,1.5058262868e+00,7.3254298143e-15,2.3357717920e-15,0.0000e+00
62.547,1.2810847834e-03,1.140730e-03,1.5058476733e+00,1.5058262768e+00,-9.6665389767e-15,-6.5990591563e-16,0.0000e+00
63.572,1.2811109794e-03,1.095758e-03,1.5058476626e+00,1.5058262656e+00,-1.5403894588e-15,4.9026779904e-17,0.0000e+00
64.598,1.2811194742e-03,1.042248e-03,1.5058476504e+00,1.5058262534e+00,-5.2916340805e-15,9.6647865826e-16,0.0000e+00
65.623,1.2811068813e-03,9.805717e-04,1.5058476369e+00,1.5058262400e+00,1.4369517367e-15,9.4647512818e-16,0.0000e+00
66.648,1.2810721999e-03,9.113358e-04,1.5058476219e+00,1.5058262256e+00,-2.4970487097e-15,-1.0678098780e-15,0.0000e+00
67.674,1.2810168989e-03,8.354650e-04,1.5058476056e+00,1.5058262103e+00,4.1881419186e-15,9.7873014281e-16,0.0000e+00
68.699,1.2809444580e-03,7.543118e-04,1.5058475880e+00,1.5058261938e+00,1.5287566533e-15,-5.2126356282e-16,0.0000e+00
69.725,1.2808594379e-03,6.698353e-04,1.5058475691e+00,1.5058261763e+00,4.2880105586e-15,5.2350075564e-16,0.0000e+00
70.750,1.2807662452e-03,5.849691e-04,1.5058475490e+00,1.5058261578e+00,1.2072148510e-14,6.6021864959e-16,0.0000e+00
71.775,1.2806678625e-03,5.042877e-04,1.5058475278e+00,1.5058261382e+00,-9.5465039626e-15,2.4076793411e-16,0.0000e+00
72.801,1.2805649288e-03,4.350205e-04,1.5058475055e+00,1.5058261177e+00,-7.5487394545e-15,-2.9607142670e-18,0.0000e+00
73.826,1.2804555177e-03,3.877082e-04,1.5058474824e+00,1.5058260965e+00,-6.0372260694e-15,-2.0703466818e-16,0.0000e+00
74.851,1.2803358180e-03,3.735707e-04,1.5058474586e+00,1.5058260746e+00,-3.2216207606e-15,4.2372705071e-16,0.0000e+00
75.877,1.2802016245e-03,3.958822e-04,1.5058474342e+00,1.5058260524e+00,-6.4841595487e-16,2.6861317240e-15,0.0000e+00
76.902,1.2800502300e-03,4.449872e-04,1.5058474093e+00,1.5058260301e+00,1.3505547196e-15,-1.5585468863e-15,0.0000e+00
77.927,1.2798821441e-03,5.069541e-04,1.5058473843e+00,1.5058260079e+00,1.3893827304e-15,-7.0246085090e-16,0.0000e+00
78.953,1.2797020925e-03,5.721043e-04,1.5058473592e+00,1.5058259858e+00,-4.9903474391e-15,-1.5466477675e-15,0.0000e+00
79.978,1.2795189566e-03,6.356375e-04,1.5058473343e+00,1.5058259640e+00,-1.0307191195e-15,-2.4414940305e-15,0.0000e+00
81.003,1.2793446236e-03,6.956759e-04,1.5058473099e+00,1.5058259424e+00,1.6468710530e-14,-1.6406752009e-15,0.0000e+00
82.029,1.2791920131e-03,7.516944e-04,1.5058472859e+00,1.5058259211e+00,-5.3572549777e-15,-3.0293213434e-15,0.0000e+00
83.054,1.2790727462e-03,8.037714e-04,1.5058472627e+00,1.5058258999e+00,5.8400191456e-15,-1.6665334227e-15,0.0000e+00
84.080,1.2789949844e-03,8.523854e-04,1.5058472404e+00,1.5058258788e+00,2.7381844949e-15,-2.0283338476e-16,0.0000e+00
85.105,1.2789618814e-03,8.983866e-04,1.5058472190e+00,1.5058258580e+00,-4.9135562057e-16,2.5046633854e-15,0.0000e+00
86.130,1.2789709240e-03,9.428905e-04,1.5058471988e+00,1.5058258376e+00,1.0575407662e-14,-6.6955747498e-17,0.0000e+00
87.156,1.2790142349e-03,9.870329e-04,1.5058471798e+00,1.5058258179e+00,7.9697852368e-15,-1.2199505478e-15,0.0000e+00
88.181,1.2790797192e-03,1.031678e-03,1.5058471620e+00,1.5058257990e+00,8.7338360582e-15,-1.0684332942e-15,0.0000e+00
89.206,1.2791527952e-03,1.077208e-03,1.5058471455e+00,1.5058257813e+00,6.7336863352e-15,-1.1667433262e-15,0.0000e+00
90.232,1.2792183896e-03,1.123482e-03,1.5058471304e+00,1.5058257651e+00,3.4702377927e-15,1.2823067511e-15,0.0000e+00
91.257,1.2792628726e-03,1.169956e-03,1.5058471167e+00,1.5058257507e+00,1.6450346855e-14,-5.2801272135e-16,0.0000e+00
92.282,1.2792756213e-03,1.215892e-03,1.5058471046e+00,1.5058257383e+00,1.7585696261e-14,-1.2016817412e-15,0.0000e+00
93.308,1.2792499623e-03,1.260567e-03,1.5058470940e+00,1.5058257281e+00,-2.5145446599e-15,2.4945532002e-15,0.0000e+00
94.333,1.2791834300e-03,1.303398e-03,1.5058470851e+00,1.5058257204e+00,-2.0172647293e-14,-8.8178789023e-16,0.0000e+00
95.359,1.2790775369e-03,1.343962e-03,1.5058470780e+00,1.5058257150e+00,8.3788682374e-15,1.1204353668e-15,0.0000e+00
96.384,1.2789373558e-03,1.381927e-03,1.5058470728e+00,1.5058257121e+00,-7.8030686341e-17,-1.2007330643e-15,0.0000e+00
