# q20(t) of the BDNK run, frame F1, eta_hat=0.03, N=24, sigma_KO=0.005, dt=0.20dx. gamma_per_period = envelope damping rate x P.
t_over_P,q,gamma_per_period
2.698993,-4.06949476e-05,0.421493
2.718551,-2.76841718e-05,0.421493
2.738108,-1.42510013e-05,0.421493
2.757666,-7.32536970e-07,0.421493
2.777224,1.25373189e-05,0.421493
2.796782,2.52412863e-05,0.421493
2.816340,3.70908518e-05,0.421493
2.835898,4.78365102e-05,0.421493
2.855456,5.72756188e-05,0.421493
2.875014,6.52575449e-05,0.421493
2.894572,7.16859587e-05,0.421493
2.914130,7.65183072e-05,0.421493
2.933688,7.97626670e-05,0.421493
2.953246,8.14723251e-05,0.421493
2.972803,8.17385547e-05,0.421493
2.992361,8.06821350e-05,0.421493
3.011919,7.84442143e-05,0.421493
3.031477,7.51771153e-05,0.421493
3.051035,7.10356528e-05,0.421493
3.070593,6.61694642e-05,0.421493
3.090151,6.07167571e-05,0.421493
3.109709,5.47997603e-05,0.421493
3.129267,4.85220343e-05,0.421493
3.148825,4.19676625e-05,0.421493
3.168383,3.52022160e-05,0.421493
3.187941,2.82752678e-05,0.421493
3.207498,2.12241397e-05,0.421493
3.227056,1.40784910e-05,0.421493
3.246614,6.86532260e-06,0.421493
3.266172,-3.86042826e-07,0.421493
3.285730,-7.63942199e-06,0.421493
3.305288,-1.48480441e-05,0.421493
3.324846,-2.19519339e-05,0.421493
3.344404,-2.88766157e-05,0.421493
3.363962,-3.55332462e-05,0.421493
3.383520,-4.18201836e-05,0.421493
3.403078,-4.76258963e-05,0.421493
3.422636,-5.28330221e-05,0.421493
3.442193,-5.73233145e-05,0.421493
3.461751,-6.09831531e-05,0.421493
3.481309,-6.37092610e-05,0.421493
3.500867,-6.54142618e-05,0.421493
3.520425,-6.60317244e-05,0.421493
3.539983,-6.55203753e-05,0.421493
3.559541,-6.38672193e-05,0.421493
3.579099,-6.10893760e-05,0.421493
3.598657,-5.72345224e-05,0.421493
3.618215,-5.23799174e-05,0.421493
3.637773,-4.66300673e-05,0.421493
3.657331,-4.01131719e-05,0.421493
3.676888,-3.29765577e-05,0.421493
3.696446,-2.53813558e-05,0.421493
3.716004,-1.74967202e-05,0.421493
3.735562,-9.49389586e-06,0.421493
3.755120,-1.54044466e-06,0.421493
3.774678,6.20508710e-06,0.421493
3.794236,1.35978106e-05,0.421493
3.813794,2.05102511e-05,0.421493
3.833352,2.68350829e-05,0.421493
3.852910,3.24867753e-05,0.421493
3.872468,3.74021461e-05,0.421493
3.892026,4.15398848e-05,0.421493
3.911583,4.48791650e-05,0.421493
3.931141,4.74175090e-05,0.421493
3.950699,4.91681028e-05,0.421493
3.970257,5.01567799e-05,0.421493
3.989815,5.04188914e-05,0.421493
4.009373,4.99962763e-05,0.421493
4.028931,4.89345164e-05,0.421493
4.048489,4.72806299e-05,0.421493
4.068047,4.50813129e-05,0.421493
4.087605,4.23817927e-05,0.421493
4.107163,3.92253050e-05,0.421493
4.126721,3.56531628e-05,0.421493
4.146278,3.17053401e-05,0.421493
4.165836,2.74214585e-05,0.421493
4.185394,2.28420405e-05,0.421493
4.204952,1.80098769e-05,0.421493
4.224510,1.29713524e-05,0.421493
4.244068,7.77758088e-06,0.421493
4.263626,2.48522140e-06,0.421493
4.283184,-2.84313164e-06,0.421493
4.302742,-8.13905311e-06,0.421493
4.322300,-1.33289214e-05,0.421493
4.341858,-1.83350775e-05,0.421493
4.361416,-2.30774656e-05,0.421493
4.380973,-2.74756795e-05,0.421493
4.400531,-3.14513082e-05,0.421493
4.420089,-3.49304552e-05,0.421493
4.439647,-3.78462922e-05,0.421493
4.459205,-4.01415031e-05,0.421493
4.478763,-4.17704840e-05,0.421493
4.498321,-4.27011730e-05,0.421493
4.517879,-4.29164108e-05,0.421493
4.537437,-4.24147556e-05,0.421493
4.556995,-4.12107106e-05,0.421493
4.576553,-3.93343529e-05,0.421493
4.596111,-3.68303861e-05,0.421493
4.615668,-3.37566706e-05,0.421493
4.635226,-3.01823098e-05,0.421493
4.654784,-2.61853929e-05,0.421493
4.674342,-2.18505086e-05,0.421493
4.693900,-1.72661525e-05,0.421493
4.713458,-1.25221479e-05,0.421493
4.733016,-7.70719494e-06,0.421493
4.752574,-2.90664930e-06,0.421493
4.772132,1.79938906e-06,0.421493
4.791690,6.33761679e-06,0.421493
4.811248,1.06426632e-05,0.421493
4.830806,1.46578120e-05,0.421493
4.850364,1.83353232e-05,0.421493
4.869921,2.16363919e-05,0.421493
4.889479,2.45307972e-05,0.421493
4.909037,2.69963099e-05,0.421493
4.928595,2.90179333e-05,0.421493
4.948153,3.05870555e-05,0.421493
4.967711,3.17005875e-05,0.421493
4.987269,3.23601559e-05,0.421493
5.006827,3.25714033e-05,0.421493
5.026385,3.23434386e-05,0.421493
5.045943,3.16884602e-05,0.421493
5.065501,3.06215574e-05,0.421493
5.085059,2.91606811e-05,0.421493
5.104616,2.73267553e-05,0.421493
5.124174,2.51438924e-05,0.421493
5.143732,2.26396637e-05,0.421493
5.163290,1.98453719e-05,0.421493
5.182848,1.67962727e-05,0.421493
5.202406,1.35316929e-05,0.421493
5.221964,1.00950027e-05,0.421493
5.241522,6.53340620e-06,0.421493
5.261080,2.89753084e-06,0.421493
5.280638,-7.59193338e-07,0.421493
5.300196,-4.38135698e-06,0.421493
5.319754,-7.91257587e-06,0.421493
5.339311,-1.12966428e-05,0.421493
5.358869,-1.44787822e-05,0.421493
5.378427,-1.74069546e-05,0.421493
5.397985,-2.00331548e-05,0.421493
5.417543,-2.23146452e-05,0.421493
5.437101,-2.42150678e-05,0.421493
5.456659,-2.57053867e-05,0.421493
5.476217,-2.67646175e-05,0.421493
5.495775,-2.73803136e-05,0.421493
5.515333,-2.75487914e-05,0.421493
5.534891,-2.72750864e-05,0.421493
5.554449,-2.65726508e-05,0.421493
5.574006,-2.54628084e-05,0.421493
5.593564,-2.39739994e-05,0.421493
5.613122,-2.21408527e-05,0.421493
5.632680,-2.00031299e-05,0.421493
