t,rhoc,errD,Mb,fd_fraction,vatm
0.000,1.2799999997e-03,0.000000e+00,1.5060794840e+00,0.0351,0.0000e+00
0.578,1.2799951982e-03,4.601580e-04,1.5060794840e+00,0.0702,6.7761e-02
1.156,1.2800088798e-03,1.239680e-03,1.5060794840e+00,0.0702,7.9757e-02
1.734,1.2800137837e-03,2.075047e-03,1.5060794840e+00,0.0702,8.1070e-02
2.312,1.2799743336e-03,2.830575e-03,1.5060794840e+00,0.0702,7.9066e-02
2.890,1.2799446474e-03,3.464579e-03,1.5060794840e+00,0.0702,8.5001e-02
3.469,1.2799757100e-03,4.036728e-03,1.5060794840e+00,0.0702,8.4149e-02
4.047,1.2800381190e-03,4.677107e-03,1.5060794840e+00,0.0702,8.0624e-02
4.625,1.2800622765e-03,5.499733e-03,1.5060794840e+00,0.0702,7.6346e-02
5.203,1.2800235498e-03,6.569561e-03,1.5060794840e+00,0.0702,7.9049e-02
5.781,1.2799671422e-03,7.899221e-03,1.5060794840e+00,0.0702,7.4059e-02
6.359,1.2799521311e-03,9.478836e-03,1.5060794840e+00,0.0702,6.8514e-02
6.937,1.2799861929e-03,1.132191e-02,1.5060794840e+00,0.0702,6.2731e-02
7.515,1.2800245368e-03,1.340927e-02,1.5060794840e+00,0.1053,6.4048e-02
8.093,1.2800260342e-03,1.570561e-02,1.5060794840e+00,0.1053,5.8200e-02
8.671,1.2799964593e-03,1.808556e-02,1.5060794840e+00,0.1053,5.2156e-02
9.249,1.2799736159e-03,1.975009e-02,1.5060794840e+00,0.1404,5.3470e-02
9.828,1.2799803887e-03,2.194335e-02,1.5060794840e+00,0.1404,5.7154e-02
10.406,1.2800030924e-03,2.288201e-02,1.5060794840e+00,0.1053,6.0240e-02
10.984,1.2800141468e-03,2.434076e-02,1.5060794840e+00,0.1053,6.2662e-02
11.562,1.2800050594e-03,2.572058e-02,1.5060794840e+00,0.1053,6.5494e-02
12.140,1.2799912740e-03,2.704486e-02,1.5060794840e+00,0.1053,6.9192e-02
12.718,1.2799895750e-03,2.833333e-02,1.5060794840e+00,0.1053,7.3611e-02
13.296,1.2799991434e-03,2.960534e-02,1.5060794840e+00,0.1053,7.8358e-02
