t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799935799e-03,9.659434e-08,1.5059978065e+00,1.5059978065e+00,1.1600492241e-06,1.1186333147e-15,0.0000e+00
1.026,1.2799950716e-03,4.126360e-04,1.5060164553e+00,1.5060164553e+00,2.0015583383e-03,-7.4082411375e-09,4.0357e-02
2.053,1.2799950828e-03,4.607955e-04,1.5060164978e+00,1.5060164978e+00,3.9928321283e-03,-2.7365849259e-08,3.4196e-02
3.079,1.2799942834e-03,4.973430e-04,1.5060164584e+00,1.5060164584e+00,5.9721310861e-03,-1.9491924548e-08,6.0340e-02
4.105,1.2799937122e-03,7.288853e-04,1.5060337211e+00,1.5060337211e+00,7.9000478936e-03,-6.0677790321e-08,3.2967e-02
5.132,1.2799932073e-03,6.617735e-04,1.5060344860e+00,1.5060344860e+00,9.8268259694e-03,4.0107180321e-08,4.9151e-02
6.158,1.2799931472e-03,5.908232e-04,1.5060351354e+00,1.5060351354e+00,1.1725373486e-02,-1.6992473715e-06,7.1538e-02
7.184,1.2799932857e-03,7.691932e-04,1.5060515917e+00,1.5060515917e+00,1.3410890854e-02,1.9647834396e-06,6.0556e-02
8.210,1.2799928692e-03,6.643128e-04,1.5060535997e+00,1.5060535997e+00,1.5409022541e-02,2.8899448177e-06,6.6133e-02
9.237,1.2799916647e-03,5.672001e-04,1.5060544009e+00,1.5060544009e+00,1.7184055971e-02,1.6239201653e-07,7.3581e-02
10.263,1.2799900056e-03,7.093872e-04,1.5060668163e+00,1.5060668163e+00,1.8354177344e-02,2.3588904834e-06,7.6653e-02
11.289,1.2799882611e-03,6.972847e-04,1.5060720558e+00,1.5060720558e+00,2.0358348660e-02,1.9789657085e-06,8.3952e-02
12.316,1.2799865999e-03,6.335688e-04,1.5060731721e+00,1.5060731721e+00,2.1933339206e-02,4.7705246565e-06,9.3441e-02
13.342,1.2799851265e-03,7.030995e-04,1.5060782515e+00,1.5060782515e+00,2.3283878513e-02,3.5734088357e-06,1.0311e-01
14.368,1.2799839678e-03,8.320251e-04,1.5060892929e+00,1.5060892929e+00,2.4050467307e-02,1.5491847977e-04,1.1200e-01
15.395,1.2799831231e-03,7.905635e-04,1.5060903377e+00,1.5060903377e+00,2.5370854313e-02,1.4649820568e-04,1.2022e-01
16.421,1.2799823477e-03,7.689922e-04,1.5060913847e+00,1.5060913847e+00,2.6585153312e-02,1.3620798145e-04,1.2763e-01
17.447,1.2799813420e-03,7.619130e-04,1.5060923235e+00,1.5060923235e+00,2.7687546925e-02,1.2331199191e-04,1.3435e-01
18.474,1.2799801052e-03,7.664323e-04,1.5060932494e+00,1.5060932494e+00,2.8660146062e-02,1.1274834992e-04,1.4047e-01
19.500,1.2799790482e-03,7.798899e-04,1.5060941021e+00,1.5060941021e+00,2.9511906092e-02,1.0491527639e-04,1.4607e-01
20.526,1.2799786764e-03,7.995786e-04,1.5060947119e+00,1.5060947119e+00,3.0233199307e-02,9.4681316090e-05,1.5127e-01
21.552,1.2799791451e-03,8.226862e-04,1.5060950953e+00,1.5060950953e+00,3.0811694792e-02,8.6486460850e-05,1.5611e-01
22.579,1.2799800982e-03,8.475495e-04,1.5060954685e+00,1.5060954685e+00,3.1286761984e-02,7.3012169304e-05,1.5081e-01
23.605,1.2799809184e-03,8.724636e-04,1.5060955942e+00,1.5060955942e+00,3.1637548258e-02,7.3043317952e-05,1.5592e-01
24.631,1.2799811812e-03,8.959722e-04,1.5060955955e+00,1.5060955955e+00,3.1859607836e-02,6.8250167767e-05,1.6080e-01
25.658,1.2799809588e-03,9.220745e-04,1.5060958802e+00,1.5060958802e+00,3.1951342389e-02,1.0925644455e-04,1.6543e-01
26.684,1.2799807444e-03,9.387487e-04,1.5060957290e+00,1.5060957290e+00,3.1924660416e-02,1.2326683354e-04,1.6893e-01
27.710,1.2799810323e-03,9.509871e-04,1.5060955339e+00,1.5060955339e+00,3.1768656921e-02,1.3250212479e-04,1.6721e-01
28.737,1.2799818125e-03,9.580983e-04,1.5060956590e+00,1.5060956590e+00,3.1476144771e-02,1.2785167934e-04,1.6980e-01
29.763,1.2799823011e-03,9.603170e-04,1.5060957614e+00,1.5060957614e+00,3.1076059462e-02,1.2256232574e-04,1.7323e-01
30.789,1.2799811120e-03,9.583104e-04,1.5060959577e+00,1.5060959577e+00,3.0561568885e-02,1.2249003713e-04,1.7728e-01
