t,rhoc,errD,Mb,q00,q20,q22,vatm
40.736,1.2801592626e-03,8.630692e-04,1.5061758359e+00,1.5061750440e+00,2.1739220588e-02,2.4148692077e-15,1.2159e-01
41.780,1.2802700764e-03,8.841002e-04,1.5061762996e+00,1.5061755077e+00,2.0273063592e-02,2.0262913570e-15,1.2776e-01
42.825,1.2804006420e-03,9.113105e-04,1.5061768016e+00,1.5061760096e+00,1.8740913410e-02,-4.7162531763e-15,1.3373e-01
43.869,1.2805462134e-03,9.444625e-04,1.5061775033e+00,1.5061767112e+00,1.7142676925e-02,4.0044481264e-16,1.3911e-01
44.914,1.2807014980e-03,9.832468e-04,1.5061781810e+00,1.5061773888e+00,1.5482449953e-02,1.0620773606e-15,1.4487e-01
45.958,1.2808614184e-03,1.025755e-03,1.5061789772e+00,1.5061781848e+00,1.3753860460e-02,-4.6745120232e-17,1.5055e-01
47.003,1.2810216935e-03,1.070498e-03,1.5061798155e+00,1.5061790230e+00,1.1975665160e-02,-2.2698729723e-15,1.5755e-01
48.047,1.2811790913e-03,1.114917e-03,1.5061809410e+00,1.5061801485e+00,1.0147270790e-02,6.6744297776e-15,1.6203e-01
49.092,1.2813312772e-03,1.157757e-03,1.5061819468e+00,1.5061811542e+00,8.2593001430e-03,6.9918522828e-15,1.6741e-01
50.136,1.2814762789e-03,1.195264e-03,1.5061831016e+00,1.5061823089e+00,6.3501147649e-03,9.8326758520e-16,1.7020e-01
51.181,1.2816116690e-03,1.223522e-03,1.5061842289e+00,1.5061834361e+00,4.3974085318e-03,2.5912121153e-15,1.7468e-01
52.225,1.2817336122e-03,1.239651e-03,1.5061850261e+00,1.5061842332e+00,2.4549036998e-03,5.0511637947e-15,1.7441e-01
53.270,1.2818359648e-03,1.239833e-03,1.5061860863e+00,1.5061852934e+00,4.8149409120e-04,1.5695255055e-15,1.7775e-01
54.314,1.2819096853e-03,1.222388e-03,1.5061867406e+00,1.5061859476e+00,-1.4756881750e-03,4.4938869658e-16,1.8083e-01
55.359,1.2819428604e-03,1.183951e-03,1.5061878055e+00,1.5061870125e+00,-3.4530647976e-03,-5.4510954557e-15,1.8008e-01
56.403,1.2819216059e-03,1.124755e-03,1.5061881704e+00,1.5061873775e+00,-5.3834714478e-03,-1.7497409969e-15,1.6668e-01
57.448,1.2818319647e-03,1.043908e-03,1.5061886798e+00,1.5061878869e+00,-7.3246790148e-03,4.4157942136e-15,1.6607e-01
58.492,1.2816625880e-03,9.448508e-04,1.5061890104e+00,1.5061882176e+00,-9.2411831622e-03,-1.8503921694e-15,1.6997e-01
