t,rhoc,errD,Mb,q00,q20,q22,vatm
0.000,1.2799999990e-03,1.151345e-07,1.5058469115e+00,1.5058255331e+00,1.1667094238e-06,-2.2882929186e-17,0.0000e+00
1.025,1.2799999467e-03,2.494751e-04,1.5058469115e+00,1.5058255331e+00,2.0137485108e-03,3.5016393331e-16,0.0000e+00
2.051,1.2800001921e-03,4.039925e-04,1.5058469115e+00,1.5058255331e+00,4.0388655507e-03,1.9206015151e-16,0.0000e+00
3.076,1.2800005657e-03,4.866194e-04,1.5058469114e+00,1.5058255331e+00,6.0623211436e-03,1.5307516789e-15,0.0000e+00
4.101,1.2800007172e-03,5.142699e-04,1.5058469114e+00,1.5058255330e+00,8.0790971435e-03,-8.7091876345e-16,0.0000e+00
5.127,1.2800007675e-03,5.020597e-04,1.5058469114e+00,1.5058255330e+00,1.0081326614e-02,1.1026002410e-15,0.0000e+00
6.152,1.2800008993e-03,4.630434e-04,1.5058469113e+00,1.5058255329e+00,1.2059267431e-02,-7.3205957021e-16,0.0000e+00
7.178,1.2800012395e-03,4.098718e-04,1.5058469113e+00,1.5058255329e+00,1.4002123041e-02,4.0876506073e-16,0.0000e+00
8.203,1.2800017784e-03,3.551153e-04,1.5058469113e+00,1.5058255329e+00,1.5898551019e-02,-5.3224110982e-16,0.0000e+00
9.228,1.2800023560e-03,3.102008e-04,1.5058469112e+00,1.5058255328e+00,1.7736978736e-02,-6.2000727568e-16,0.0000e+00
10.254,1.2800027344e-03,2.845108e-04,1.5058469112e+00,1.5058255328e+00,1.9505838355e-02,-1.1289046704e-15,0.0000e+00
11.279,1.2800028041e-03,2.816603e-04,1.5058469112e+00,1.5058255328e+00,2.1193817844e-02,-1.0430358583e-15,0.0000e+00
12.304,1.2800026582e-03,2.965469e-04,1.5058469112e+00,1.5058255328e+00,2.2790114784e-02,-5.1318625664e-16,0.0000e+00
13.330,1.2800024770e-03,3.200156e-04,1.5058469112e+00,1.5058255328e+00,2.4284624883e-02,-5.2419090869e-16,0.0000e+00
14.355,1.2800023150e-03,3.443845e-04,1.5058469111e+00,1.5058255327e+00,2.5668121815e-02,-1.4309091855e-15,0.0000e+00
15.380,1.2800021046e-03,3.648598e-04,1.5058469111e+00,1.5058255327e+00,2.6932573509e-02,4.9303467459e-16,0.0000e+00
