t,rhoc_rel,errD,Snorm,Mb_rel,vatm,rstar_R
0.00,0.00000000e+00,0.000000e+00,0.000000e+00,0.0000000000e+00,0.0000e+00,0.9687
0.57,-3.70347200e-06,1.656483e-03,1.561812e-07,-2.4691360068e-13,5.1445e-02,1.1250
1.14,6.59171233e-06,1.504235e-03,2.543216e-07,-7.6005868266e-13,4.7648e-02,1.1563
1.72,1.11734877e-05,1.372476e-03,3.299004e-07,-1.6314727347e-12,4.5347e-02,1.1563
2.29,-1.84856686e-05,1.257487e-03,3.855709e-07,-1.9176882304e-12,3.9501e-02,1.1875
2.86,-4.30243181e-05,1.154624e-03,4.236380e-07,-2.3784307857e-12,2.9145e-02,1.1875
3.43,-2.17207097e-05,1.061181e-03,4.465113e-07,-3.0673241724e-12,2.1857e-02,1.1875
4.00,2.65620193e-05,9.753808e-04,4.563937e-07,-3.7807534881e-12,1.7785e-02,1.1875
4.58,4.89921136e-05,8.971416e-04,4.563040e-07,-4.2472692030e-12,1.2044e-02,1.1875
5.15,2.26477669e-05,8.256983e-04,4.486149e-07,-4.3161030305e-12,1.0804e-02,1.1875
5.72,-2.18759370e-05,7.606947e-04,4.353961e-07,-4.3163250751e-12,1.5307e-02,1.1875
6.29,-3.82428135e-05,7.020518e-04,4.190183e-07,-4.3165471197e-12,1.9425e-02,1.1875
6.86,-1.52272813e-05,6.498368e-04,4.022313e-07,-4.3169912090e-12,2.3796e-02,1.1875
7.44,1.62599035e-05,6.041175e-04,3.875065e-07,-4.3174352982e-12,3.0838e-02,1.1875
8.01,2.21301809e-05,5.645748e-04,3.766931e-07,-4.3176573428e-12,3.8566e-02,1.1875
8.58,1.35544424e-06,5.274267e-04,3.707703e-07,-4.3178793874e-12,4.6308e-02,1.1875
9.15,-1.89868645e-05,4.961965e-04,3.696487e-07,-4.3176573428e-12,5.3776e-02,1.1875
9.72,-1.77305672e-05,4.704599e-04,3.722398e-07,-4.3183234766e-12,6.1029e-02,1.1875
10.30,-8.61487624e-07,4.498650e-04,3.770532e-07,-4.3181014320e-12,6.8301e-02,1.1875
10.87,1.06041030e-05,4.339337e-04,3.825430e-07,-4.3187675658e-12,7.5605e-02,1.1875
11.44,6.28799233e-06,4.222118e-04,3.875428e-07,-4.3188785881e-12,8.2931e-02,1.1875
12.01,-4.89255984e-06,4.056651e-04,3.897797e-07,-4.3192116550e-12,9.0123e-02,1.1875
12.58,-8.81913697e-06,3.908901e-04,3.893779e-07,-4.3189896104e-12,9.7551e-02,1.1875
13.16,-2.76548409e-06,3.885739e-04,3.911580e-07,-4.3203218780e-12,1.0487e-01,1.1875
13.73,4.42833919e-06,3.930166e-04,3.949369e-07,-4.3203218780e-12,1.1226e-01,1.1875
14.30,5.19968809e-06,4.008724e-04,3.990717e-07,-4.3206549449e-12,1.1972e-01,1.1875
14.87,1.58922721e-06,4.120166e-04,4.033515e-07,-4.3207659672e-12,1.2733e-01,1.1875
15.44,3.53212055e-07,4.255876e-04,4.075320e-07,-4.3207659672e-12,1.3459e-01,1.1875
16.02,3.25751532e-06,4.411220e-04,4.114013e-07,-4.3209880118e-12,1.4356e-01,1.1875
16.59,5.39241232e-06,4.570896e-04,4.149942e-07,-4.3220982349e-12,1.4975e-01,1.1875
17.16,2.77716241e-06,4.739225e-04,4.186439e-07,-4.3218761903e-12,1.5753e-01,1.1875
17.73,-1.45063473e-06,4.915266e-04,4.255239e-07,-4.3218761903e-12,1.6468e-01,1.1875
18.30,-5.75535910e-07,5.082026e-04,4.370185e-07,-4.3227643687e-12,1.7206e-01,1.1875
18.88,6.71813347e-06,5.250052e-04,4.523615e-07,-4.3227643687e-12,1.7927e-01,1.1875
19.45,1.32271026e-05,5.418509e-04,4.707705e-07,-4.3225423241e-12,1.8639e-01,1.1875
20.02,1.05685425e-05,5.571486e-04,4.729424e-07,-4.3228753910e-12,1.9340e-01,1.1875
20.59,-8.72415420e-07,5.702713e-04,4.721642e-07,-4.3234305025e-12,2.0022e-01,1.1875
21.16,-1.08184454e-05,5.813039e-04,4.716663e-07,-4.3235415248e-12,2.0685e-01,1.1875
21.74,-8.88241539e-06,5.905897e-04,4.741556e-07,-4.3235415248e-12,2.1314e-01,1.1875
22.31,4.54794827e-06,5.982024e-04,4.809206e-07,-4.3239856140e-12,2.1940e-01,1.1875
22.88,1.76633060e-05,6.059385e-04,4.913146e-07,-4.3243186809e-12,2.2548e-01,1.1875
23.45,1.78260128e-05,6.101465e-04,5.034145e-07,-4.3244297032e-12,2.3071e-01,1.1875
24.02,3.26004606e-06,6.147380e-04,5.154572e-07,-4.3247627701e-12,2.3585e-01,1.1563
