t,rhoc,errD,Mb,q00,q20,q22,vatm
39.989,1.2799028778e-03,3.163550e-04,1.5058473607e+00,1.5058259840e+00,-1.2246912764e-14,-2.0578783568e-16,0.0000e+00
41.014,1.2799073369e-03,3.162628e-04,1.5058473737e+00,1.5058259969e+00,7.8953409861e-15,5.3371936111e-16,0.0000e+00
42.040,1.2799122314e-03,3.158985e-04,1.5058473867e+00,1.5058260098e+00,-1.1928130221e-14,-8.7793897252e-16,0.0000e+00
43.065,1.2799177102e-03,3.152934e-04,1.5058473997e+00,1.5058260227e+00,-1.0676716969e-14,4.3679168689e-16,0.0000e+00
44.090,1.2799238929e-03,3.144783e-04,1.5058474126e+00,1.5058260355e+00,2.6845298177e-15,-1.2942726068e-15,0.0000e+00
45.116,1.2799308271e-03,3.134819e-04,1.5058474255e+00,1.5058260483e+00,-3.8287740766e-15,-1.2978775790e-15,0.0000e+00
46.141,1.2799384565e-03,3.123290e-04,1.5058474383e+00,1.5058260610e+00,1.8330299002e-14,-1.0960262395e-15,0.0000e+00
47.167,1.2799466053e-03,3.110399e-04,1.5058474511e+00,1.5058260737e+00,1.4647617137e-15,3.9567331950e-16,0.0000e+00
48.192,1.2799549865e-03,3.096308e-04,1.5058474639e+00,1.5058260863e+00,2.9213602266e-15,-3.6914999802e-16,0.0000e+00
49.217,1.2799632438e-03,3.081148e-04,1.5058474766e+00,1.5058260989e+00,-9.7573618581e-17,8.5908843308e-16,0.0000e+00
50.243,1.2799710111e-03,3.065029e-04,1.5058474892e+00,1.5058261114e+00,3.1959073200e-15,2.2454577510e-15,0.0000e+00
51.268,1.2799779858e-03,3.048059e-04,1.5058475018e+00,1.5058261238e+00,-1.1246654434e-15,-3.9042746566e-16,0.0000e+00
52.293,1.2799840569e-03,3.030349e-04,1.5058475143e+00,1.5058261362e+00,-6.7338395937e-15,3.7911505782e-15,0.0000e+00
53.319,1.2799892781e-03,3.012014e-04,1.5058475268e+00,1.5058261486e+00,1.1854237447e-14,1.4481083683e-15,0.0000e+00
54.344,1.2799938175e-03,2.993169e-04,1.5058475391e+00,1.5058261609e+00,5.7646397611e-15,4.8880628612e-16,0.0000e+00
55.369,1.2799978801e-03,2.973925e-04,1.5058475514e+00,1.5058261731e+00,-7.1486011372e-15,3.6443224990e-15,0.0000e+00
56.395,1.2800016258e-03,2.954382e-04,1.5058475636e+00,1.5058261852e+00,-1.2573460918e-14,1.1607676876e-15,0.0000e+00
57.420,1.2800051120e-03,2.934630e-04,1.5058475757e+00,1.5058261973e+00,1.2927570489e-14,3.1850544588e-15,0.0000e+00
58.446,1.2800082816e-03,2.914751e-04,1.5058475877e+00,1.5058262092e+00,-1.1647606474e-14,1.4226816674e-16,0.0000e+00
59.471,1.2800109971e-03,2.894829e-04,1.5058475997e+00,1.5058262211e+00,1.0889839610e-14,1.9572768136e-15,0.0000e+00
60.496,1.2800131009e-03,2.874951e-04,1.5058476115e+00,1.5058262329e+00,-1.1896945870e-14,1.8944744027e-15,0.0000e+00
61.522,1.2800144733e-03,2.855218e-04,1.5058476233e+00,1.5058262447e+00,1.3684357156e-14,1.0560337577e-15,0.0000e+00
62.547,1.2800150670e-03,2.835749e-04,1.5058476350e+00,1.5058262563e+00,-7.2399587269e-15,-2.7542072021e-16,0.0000e+00
63.572,1.2800149098e-03,2.816684e-04,1.5058476465e+00,1.5058262679e+00,8.5604041355e-15,9.4381883286e-16,0.0000e+00
64.598,1.2800140829e-03,2.798185e-04,1.5058476581e+00,1.5058262795e+00,8.9393734521e-15,1.0557898122e-15,0.0000e+00
65.623,1.2800126869e-03,2.780433e-04,1.5058476695e+00,1.5058262909e+00,-2.0485547802e-15,-1.5195698182e-15,0.0000e+00
66.648,1.2800108098e-03,2.763621e-04,1.5058476808e+00,1.5058263023e+00,-6.2921491885e-15,-1.9613550984e-15,0.0000e+00
67.674,1.2800085073e-03,2.747955e-04,1.5058476921e+00,1.5058263136e+00,6.4784107032e-15,1.0210953427e-15,0.0000e+00
68.699,1.2800057973e-03,2.733643e-04,1.5058477033e+00,1.5058263249e+00,-1.0230527132e-14,2.7551411923e-15,0.0000e+00
69.725,1.2800026665e-03,2.720887e-04,1.5058477144e+00,1.5058263360e+00,1.2503878278e-15,-1.4656329201e-16,0.0000e+00
70.750,1.2799990811e-03,2.709886e-04,1.5058477255e+00,1.5058263472e+00,-9.1102616847e-15,1.5701353228e-15,0.0000e+00
71.775,1.2799949985e-03,2.700819e-04,1.5058477365e+00,1.5058263583e+00,4.7564808138e-15,2.0195642284e-15,0.0000e+00
72.801,1.2799903799e-03,2.693852e-04,1.5058477475e+00,1.5058263693e+00,8.0728519719e-15,1.1661073833e-15,0.0000e+00
73.826,1.2799851994e-03,2.689122e-04,1.5058477584e+00,1.5058263803e+00,-6.1285159738e-15,2.8662177049e-15,0.0000e+00
74.851,1.2799794486e-03,2.686741e-04,1.5058477693e+00,1.5058263913e+00,4.1387972850e-15,-9.3450722087e-16,0.0000e+00
75.877,1.2799731385e-03,2.686786e-04,1.5058477802e+00,1.5058264023e+00,-1.9185996417e-14,8.1284721042e-16,0.0000e+00
76.902,1.2799663028e-03,2.689294e-04,1.5058477910e+00,1.5058264132e+00,7.4050376461e-15,-2.2655030729e-16,0.0000e+00
77.927,1.2799590014e-03,2.694264e-04,1.5058478018e+00,1.5058264241e+00,-1.3752110169e-15,-5.1866147761e-16,0.0000e+00
78.953,1.2799513214e-03,2.701650e-04,1.5058478126e+00,1.5058264351e+00,-1.7918021484e-15,-2.0564938391e-15,0.0000e+00
79.978,1.2799433736e-03,2.711361e-04,1.5058478234e+00,1.5058264460e+00,-1.0159986223e-14,-2.3801823977e-15,0.0000e+00
81.003,1.2799352866e-03,2.723260e-04,1.5058478342e+00,1.5058264569e+00,8.7749135415e-15,-2.1565407545e-16,0.0000e+00
82.029,1.2799271952e-03,2.737168e-04,1.5058478450e+00,1.5058264679e+00,-5.8198159920e-16,3.6417724639e-16,0.0000e+00
83.054,1.2799192275e-03,2.752863e-04,1.5058478559e+00,1.5058264789e+00,-1.2541815763e-14,7.6552178559e-16,0.0000e+00
84.080,1.2799114919e-03,2.770089e-04,1.5058478667e+00,1.5058264899e+00,-1.3356268434e-14,-3.2637822232e-16,0.0000e+00
85.105,1.2799040713e-03,2.788556e-04,1.5058478777e+00,1.5058265009e+00,-4.4937830348e-15,-2.7900921340e-15,0.0000e+00
86.130,1.2798970221e-03,2.807954e-04,1.5058478886e+00,1.5058265120e+00,-1.5927277701e-14,2.9073902824e-15,0.0000e+00
87.156,1.2798903791e-03,2.827958e-04,1.5058478997e+00,1.5058265231e+00,7.4886301955e-16,-2.3865791905e-15,0.0000e+00
88.181,1.2798841637e-03,2.848238e-04,1.5058479108e+00,1.5058265343e+00,-3.1076983172e-15,6.4138063684e-16,0.0000e+00
89.206,1.2798783913e-03,2.868470e-04,1.5058479219e+00,1.5058265456e+00,-8.6864199372e-15,-1.0489447602e-15,0.0000e+00
90.232,1.2798730746e-03,2.888337e-04,1.5058479332e+00,1.5058265570e+00,-5.5022672336e-15,-2.2133507884e-15,0.0000e+00
91.257,1.2798682242e-03,2.907541e-04,1.5058479445e+00,1.5058265684e+00,3.3388458304e-15,-6.1209475984e-17,0.0000e+00
92.282,1.2798638460e-03,2.925803e-04,1.5058479560e+00,1.5058265799e+00,-1.6207963492e-15,-1.1474987377e-15,0.0000e+00
93.308,1.2798599395e-03,2.942867e-04,1.5058479675e+00,1.5058265915e+00,2.9224986453e-15,-2.2511352341e-15,0.0000e+00
94.333,1.2798564977e-03,2.958504e-04,1.5058479792e+00,1.5058266032e+00,2.3779526231e-14,-3.1433794119e-15,0.0000e+00
95.359,1.2798535095e-03,2.972513e-04,1.5058479909e+00,1.5058266150e+00,-2.8042301233e-15,2.9126465029e-16,0.0000e+00
96.384,1.2798509666e-03,2.984722e-04,1.5058480028e+00,1.5058266269e+00,1.2682500777e-15,1.7668909121e-15,0.0000e+00
97.409,1.2798488695e-03,2.994991e-04,1.5058480147e+00,1.5058266389e+00,1.2381159716e-14,-1.4148358883e-15,0.0000e+00
98.435,1.2798472299e-03,3.003216e-04,1.5058480268e+00,1.5058266510e+00,-6.0148915672e-15,1.0239447183e-17,0.0000e+00
99.460,1.2798460691e-03,3.009324e-04,1.5058480390e+00,1.5058266632e+00,1.8927789275e-14,-2.1297067508e-16,0.0000e+00
100.485,1.2798454130e-03,3.013277e-04,1.5058480513e+00,1.5058266755e+00,-1.4882933501e-14,-1.7683671117e-15,0.0000e+00
101.511,1.2798452851e-03,3.015068e-04,1.5058480637e+00,1.5058266880e+00,-1.0876101742e-14,-8.5023760701e-16,0.0000e+00
102.536,1.2798456985e-03,3.014718e-04,1.5058480763e+00,1.5058267005e+00,-1.5358613651e-14,-5.8425570905e-16,0.0000e+00
103.561,1.2798466498e-03,3.012276e-04,1.5058480889e+00,1.5058267131e+00,-1.9735985054e-14,-2.2374742867e-15,0.0000e+00
104.587,1.2798481163e-03,3.007814e-04,1.5058481017e+00,1.5058267258e+00,-2.6510459048e-15,6.9079315085e-16,0.0000e+00
105.612,1.2798500596e-03,3.001426e-04,1.5058481145e+00,1.5058267387e+00,1.4668026704e-14,-1.5829414352e-15,0.0000e+00
106.637,1.2798524323e-03,2.993229e-04,1.5058481275e+00,1.5058267516e+00,-4.0007285317e-15,-9.5077025345e-16,0.0000e+00
107.663,1.2798551868e-03,2.983356e-04,1.5058481405e+00,1.5058267646e+00,-6.6079501534e-15,-2.1098094809e-15,0.0000e+00
