# q20(t) of the ideal cut-cell run, N=24, sigma_KO=0.005 (same as the BDNK series), seed (2,0). t in f-mode periods. gamma_per_period = envelope damping rate x P (numerical floor).
t_over_P,q,gamma_per_period
2.557642,-1.98819433e-04,0.142474
2.576311,-2.07684160e-04,0.142474
2.594980,-2.12204291e-04,0.142474
2.613649,-2.11659004e-04,0.142474
2.632318,-2.05534742e-04,0.142474
2.650987,-1.93561518e-04,0.142474
2.669656,-1.75735692e-04,0.142474
2.688325,-1.52327906e-04,0.142474
2.706994,-1.23875761e-04,0.142474
2.725662,-9.11616723e-05,0.142474
2.744331,-5.51772223e-05,0.142474
2.763000,-1.70760765e-05,0.142474
2.781669,2.18818249e-05,0.142474
2.800338,6.03916184e-05,0.142474
2.819007,9.71669480e-05,0.142474
2.837676,1.31001929e-04,0.142474
2.856345,1.60828222e-04,0.142474
2.875014,1.85764130e-04,0.142474
2.893683,2.05153090e-04,0.142474
2.912352,2.18589611e-04,0.142474
2.931021,2.25931422e-04,0.142474
2.949690,2.27297396e-04,0.142474
2.968358,2.23051650e-04,0.142474
2.987027,2.13774969e-04,0.142474
3.005696,2.00225439e-04,0.142474
3.024365,1.83290730e-04,0.142474
3.043034,1.63934912e-04,0.142474
3.061703,1.43142958e-04,0.142474
3.080372,1.21866151e-04,0.142474
3.099041,1.00971510e-04,0.142474
3.117710,8.11980479e-05,0.142474
3.136379,6.31222547e-05,0.142474
3.155048,4.71345786e-05,0.142474
3.173717,3.34280417e-05,0.142474
3.192386,2.19993738e-05,0.142474
3.211054,1.26623133e-05,0.142474
3.229723,5.07201099e-06,0.142474
3.248392,-1.24116502e-06,0.142474
3.267061,-6.83066029e-06,0.142474
3.285730,-1.22882279e-05,0.142474
3.304399,-1.81967488e-05,0.142474
3.323068,-2.50843056e-05,0.142474
3.341737,-3.33823270e-05,0.142474
3.360406,-4.33903467e-05,0.142474
3.379075,-5.52495012e-05,0.142474
3.397744,-6.89263481e-05,0.142474
3.416413,-8.42079587e-05,0.142474
3.435081,-1.00708561e-04,0.142474
3.453750,-1.17887315e-04,0.142474
3.472419,-1.35076153e-04,0.142474
3.491088,-1.51516015e-04,0.142474
3.509757,-1.66399329e-04,0.142474
3.528426,-1.78916225e-04,0.142474
3.547095,-1.88301773e-04,0.142474
3.565764,-1.93881454e-04,0.142474
3.584433,-1.95112241e-04,0.142474
3.603102,-1.91616870e-04,0.142474
