t,rhoc,errD,Mb,fd_fraction,vatm
0.000,1.2799999996e-03,0.000000e+00,1.5061770725e+00,0.0351,0.0000e+00
0.531,1.2799990293e-03,2.833548e-07,1.5061770725e+00,0.0702,7.9640e-03
1.062,1.2799973576e-03,1.147192e-06,1.5061770725e+00,0.0702,1.5812e-02
1.593,1.2799973323e-03,2.426558e-06,1.5061770725e+00,0.0702,2.3453e-02
2.124,1.2799985056e-03,3.881767e-06,1.5061770725e+00,0.0702,3.0731e-02
2.655,1.2799987471e-03,5.288245e-06,1.5061770725e+00,0.0702,3.8035e-02
3.185,1.2799980902e-03,6.098090e-06,1.5061770725e+00,0.0702,4.5834e-02
3.716,1.2799979603e-03,6.127229e-06,1.5061770725e+00,0.0702,5.3689e-02
4.247,1.2799982549e-03,5.543896e-06,1.5061770725e+00,0.0702,6.1586e-02
4.778,1.2799981796e-03,4.742656e-06,1.5061770725e+00,0.0702,6.9510e-02
5.309,1.2799979750e-03,4.325642e-06,1.5061770725e+00,0.0702,7.7430e-02
5.840,1.2799981287e-03,4.744558e-06,1.5061770725e+00,0.0702,8.5246e-02
6.371,1.2799983781e-03,5.752908e-06,1.5061770725e+00,0.0702,9.2774e-02
6.902,1.2799983396e-03,6.679563e-06,1.5061770725e+00,0.0702,9.8077e-02
7.433,1.2799981208e-03,7.712424e-06,1.5061770725e+00,0.0702,1.0554e-01
7.964,1.2799979907e-03,8.785671e-06,1.5061770725e+00,0.0702,1.1289e-01
8.495,1.2799980446e-03,4.217205e-05,1.5061770792e+00,0.0702,1.1925e-01
9.025,1.2799982136e-03,1.177552e-04,1.5061770792e+00,0.0351,1.2483e-01
9.556,1.2799983159e-03,1.132331e-04,1.5061770792e+00,0.0351,1.3184e-01
10.087,1.2799982309e-03,1.095252e-04,1.5061770792e+00,0.0351,1.3856e-01
10.618,1.2799980890e-03,1.057542e-04,1.5061770792e+00,0.0351,1.4486e-01
11.149,1.2799980834e-03,1.013682e-04,1.5061770792e+00,0.0351,1.5242e-01
11.680,1.2799981726e-03,9.624611e-05,1.5061770792e+00,0.0351,1.5939e-01
12.211,1.2799982011e-03,9.069926e-05,1.5061770792e+00,0.0351,1.6582e-01
12.742,1.2799981733e-03,8.613655e-05,1.5061770792e+00,0.0351,1.7220e-01
13.273,1.2799981705e-03,8.214376e-05,1.5061770792e+00,0.0351,1.7891e-01
13.804,1.2799981579e-03,7.903526e-05,1.5061770792e+00,0.0351,1.8573e-01
14.335,1.2799980941e-03,7.624394e-05,1.5061770792e+00,0.0351,1.9080e-01
14.865,1.2799980816e-03,7.043699e-05,1.5061770792e+00,0.0351,1.9293e-01
15.396,1.2799982067e-03,6.069936e-05,1.5061770792e+00,0.0351,1.9217e-01
15.927,1.2799983493e-03,5.125835e-05,1.5061770792e+00,0.0351,1.9079e-01
16.458,1.2799983310e-03,5.157924e-05,1.5061770792e+00,0.0351,1.9848e-01
16.989,1.2799981698e-03,1.087446e-04,1.5061771031e+00,0.0351,1.6907e-01
17.520,1.2799980425e-03,9.721445e-05,1.5061771031e+00,0.0351,1.6279e-01
18.051,1.2799980509e-03,9.084487e-05,1.5061771031e+00,0.0351,1.6212e-01
18.582,1.2799981488e-03,8.870702e-05,1.5061771031e+00,0.0351,1.6578e-01
19.113,1.2799982643e-03,9.009126e-05,1.5061771031e+00,0.0351,1.7214e-01
19.644,1.2799983734e-03,9.405686e-05,1.5061771031e+00,0.0351,1.7637e-01
20.175,1.2799984406e-03,9.929591e-05,1.5061771031e+00,0.0351,1.7815e-01
20.705,1.2799983916e-03,1.044298e-04,1.5061771031e+00,0.0351,1.7857e-01
21.236,1.2799982070e-03,1.083930e-04,1.5061771031e+00,0.0351,1.7845e-01
21.767,1.2799979983e-03,1.106035e-04,1.5061771031e+00,0.0351,1.7842e-01
22.298,1.2799979283e-03,1.108837e-04,1.5061771031e+00,0.0351,1.7898e-01
22.829,1.2799980535e-03,1.102084e-04,1.5061771031e+00,0.0351,1.8046e-01
23.360,1.2799982729e-03,1.096441e-04,1.5061771031e+00,0.0351,1.8271e-01
23.891,1.2799984322e-03,1.093952e-04,1.5061771031e+00,0.0351,1.8396e-01
24.422,1.2799984502e-03,1.101767e-04,1.5061771031e+00,0.0351,1.8203e-01
24.953,1.2799983497e-03,1.108519e-04,1.5061771031e+00,0.0351,1.0813e-01
25.484,1.2799982055e-03,9.617825e-05,1.5061771031e+00,0.0351,1.1602e-01
26.014,1.2799980865e-03,7.787005e-05,1.5061771031e+00,0.0351,1.2391e-01
26.545,1.2799980247e-03,6.529092e-05,1.5061771031e+00,0.0351,1.3178e-01
27.076,1.2799980105e-03,6.052979e-05,1.5061771031e+00,0.0351,1.2643e-01
27.607,1.2799980158e-03,6.845221e-05,1.5061772408e+00,0.0702,8.1535e-03
28.138,1.2799980316e-03,1.054764e-04,1.5061772408e+00,0.0351,7.4163e-03
28.669,1.2799980768e-03,9.587385e-05,1.5061772408e+00,0.0351,2.4638e-03
29.200,1.2799981538e-03,9.140388e-05,1.5061772408e+00,0.0351,8.6782e-04
29.731,1.2799982103e-03,9.103468e-05,1.5061772408e+00,0.0351,2.6103e-03
30.262,1.2799981777e-03,9.407369e-05,1.5061772408e+00,0.0351,3.3827e-03
30.793,1.2799980605e-03,9.950953e-05,1.5061772408e+00,0.0351,4.1416e-03
31.324,1.2799979580e-03,1.064712e-04,1.5061772408e+00,0.0351,5.4094e-03
31.854,1.2799979720e-03,1.141014e-04,1.5061772408e+00,0.0351,7.1460e-03
32.385,1.2799981124e-03,1.211757e-04,1.5061772408e+00,0.0351,9.3351e-03
32.916,1.2799983168e-03,1.268941e-04,1.5061772408e+00,0.0351,1.1908e-02
33.447,1.2799985370e-03,1.308975e-04,1.5061772408e+00,0.0351,1.4753e-02
33.978,1.2799987471e-03,1.330673e-04,1.5061772408e+00,0.0351,1.7757e-02
34.509,1.2799988633e-03,1.334991e-04,1.5061772408e+00,0.0351,2.0902e-02
35.040,1.2799987263e-03,1.323364e-04,1.5061772408e+00,0.0351,2.4204e-02
35.571,1.2799982498e-03,1.296194e-04,1.5061772408e+00,0.0351,2.7653e-02
36.102,1.2799976184e-03,1.252951e-04,1.5061772408e+00,0.0351,3.1191e-02
36.633,1.2799972968e-03,1.193049e-04,1.5061772408e+00,0.0351,3.4689e-02
37.164,1.2799977161e-03,1.118057e-04,1.5061772408e+00,0.0351,3.7972e-02
37.694,1.2799988056e-03,1.032000e-04,1.5061772408e+00,0.0351,4.0404e-02
38.225,1.2799997806e-03,9.411105e-05,1.5061772408e+00,0.0351,4.1149e-02
38.756,1.2799995488e-03,8.655728e-05,1.5061772408e+00,0.0351,4.2015e-02
39.287,1.2799976510e-03,8.077190e-05,1.5061772408e+00,0.0351,4.3365e-02
39.818,1.2799950558e-03,7.476071e-05,1.5061772408e+00,0.0351,4.4797e-02
40.349,1.2799939281e-03,6.980494e-05,1.5061772408e+00,0.0351,4.6859e-02
40.880,1.2799961879e-03,6.713458e-05,1.5061772408e+00,0.0351,5.0221e-02
41.411,1.2800018097e-03,6.758546e-05,1.5061772408e+00,0.0351,5.5763e-02
41.942,1.2800081597e-03,9.430917e-05,1.5061772900e+00,0.0702,8.3622e-03
42.473,1.2800109735e-03,1.198140e-04,1.5061772900e+00,0.0351,3.8379e-03
43.004,1.2800066298e-03,1.169545e-04,1.5061772900e+00,0.0351,5.0883e-04
43.534,1.2799947703e-03,1.186656e-04,1.5061772900e+00,0.0351,3.8146e-03
44.065,1.2799798700e-03,1.238392e-04,1.5061772900e+00,0.0351,6.4226e-03
44.596,1.2799703974e-03,1.307738e-04,1.5061772900e+00,0.0351,8.6887e-03
45.127,1.2799753544e-03,1.377451e-04,1.5061772900e+00,0.0351,1.1042e-02
45.658,1.2799996223e-03,1.435386e-04,1.5061772900e+00,0.0351,1.3620e-02
46.189,1.2800404433e-03,1.474046e-04,1.5061772900e+00,0.0351,1.6343e-02
46.720,1.2800870457e-03,1.490629e-04,1.5061772900e+00,0.0351,1.9175e-02
47.251,1.2801239823e-03,1.486192e-04,1.5061772900e+00,0.0351,2.2167e-02
47.782,1.2801369038e-03,1.461902e-04,1.5061772900e+00,0.0351,2.5301e-02
48.313,1.2801181341e-03,1.418461e-04,1.5061772900e+00,0.0351,2.8511e-02
48.844,1.2800695401e-03,1.357724e-04,1.5061772900e+00,0.0351,3.1706e-02
49.374,1.2800017006e-03,1.283510e-04,1.5061772900e+00,0.0351,3.4740e-02
49.905,1.2799301041e-03,1.201693e-04,1.5061772900e+00,0.0351,3.7422e-02
50.436,1.2798702156e-03,1.118913e-04,1.5061772900e+00,0.0351,3.9308e-02
50.967,1.2798334482e-03,1.056161e-04,1.5061772900e+00,0.0351,4.2130e-02
51.498,1.2798253043e-03,1.007513e-04,1.5061772900e+00,0.0351,4.2450e-02
52.029,1.2798456941e-03,9.481656e-05,1.5061772900e+00,0.0351,4.2703e-02
52.560,1.2798903884e-03,8.890360e-05,1.5061772900e+00,0.0351,4.3542e-02
53.091,1.2799524105e-03,8.417736e-05,1.5061772900e+00,0.0351,4.5467e-02
53.622,1.2800229332e-03,8.176834e-05,1.5061772900e+00,0.0351,4.9065e-02
54.153,1.2800917548e-03,8.248784e-05,1.5061772900e+00,0.0351,5.5119e-02
54.684,1.2801477875e-03,1.154505e-04,1.5061773930e+00,0.0702,8.5981e-03
55.214,1.2801801236e-03,1.258444e-04,1.5061773930e+00,0.0351,3.5122e-03
55.745,1.2801799220e-03,1.244118e-04,1.5061773930e+00,0.0351,9.2213e-05
56.276,1.2801426486e-03,1.274234e-04,1.5061773930e+00,0.0351,2.0872e-03
56.807,1.2800697554e-03,1.341651e-04,1.5061773930e+00,0.0351,3.6752e-03
57.338,1.2799692677e-03,1.429679e-04,1.5061773930e+00,0.0351,5.2053e-03
57.869,1.2798549631e-03,1.519556e-04,1.5061773930e+00,0.0351,7.0772e-03
