K,A,T,f_pgram,f_pencil,agree_pct,df_kHz,stable,ratio,rhoc_drift,gamma
6,1.0e-02,600,1.814238,1.756848,3.163,0.3386,true,0.549,-5.8221e-04,1.4122e-03
6,1.0e-03,600,1.822828,1.758096,3.551,0.3387,false,NaN,-1.2961e-05,2.4622e-03
8,1.0e-02,600,1.810437,1.851204,2.252,0.3385,true,0.577,-5.1585e-04,6.3381e-04
10,1.0e-02,600,1.693542,1.688690,0.287,0.3391,true,0.574,-3.6765e-04,1.3601e-03
8,1.0e-02,1300,1.798544,1.770818,1.542,0.1564,true,0.577,1.2749e-04,6.3381e-04
