t,rhoc,errD,Mb,fd_fraction,vatm
0.000,1.2799999930e-03,0.000000e+00,1.5065927500e+00,0.0690,0.0000e+00
0.597,1.2799955143e-03,7.717113e-04,1.5065927500e+00,0.0690,4.2947e-02
1.193,1.2799812438e-03,1.357877e-03,1.5065927500e+00,0.0690,5.7106e-02
1.790,1.2799663554e-03,1.790388e-03,1.5065927500e+00,0.0690,6.9136e-02
2.387,1.2799583133e-03,2.159174e-03,1.5065927500e+00,0.0690,8.5429e-02
2.983,1.2799597666e-03,2.544312e-03,1.5065927500e+00,0.0690,9.8334e-02
3.580,1.2799679598e-03,2.979929e-03,1.5065927500e+00,0.0690,9.3364e-02
4.176,1.2799769449e-03,3.472199e-03,1.5065927500e+00,0.0690,9.7472e-02
4.773,1.2799818593e-03,4.001749e-03,1.5065927500e+00,0.0690,1.0175e-01
5.370,1.2799814891e-03,4.595948e-03,1.5065927500e+00,0.0690,1.0560e-01
5.966,1.2799776790e-03,5.214208e-03,1.5065927500e+00,0.0690,1.0906e-01
6.563,1.2799732189e-03,5.842709e-03,1.5065927500e+00,0.0690,1.1212e-01
7.160,1.2799701993e-03,6.463942e-03,1.5065927500e+00,0.0690,1.1485e-01
7.756,1.2799694543e-03,7.062737e-03,1.5065927501e+00,0.1379,1.1732e-01
8.353,1.2799706900e-03,7.639620e-03,1.5065927501e+00,0.1379,1.1951e-01
8.950,1.2799728639e-03,8.196970e-03,1.5065927501e+00,0.1379,1.2143e-01
9.546,1.2799746924e-03,8.711962e-03,1.5065927501e+00,0.1379,1.2315e-01
10.143,1.2799752322e-03,9.171535e-03,1.5065927501e+00,0.1379,1.2483e-01
10.740,1.2799743163e-03,9.562153e-03,1.5065927501e+00,0.1379,1.2651e-01
11.336,1.2799725751e-03,9.856052e-03,1.5065927501e+00,0.1379,1.2823e-01
11.933,1.2799710422e-03,1.004026e-02,1.5065927501e+00,0.1379,1.2998e-01
12.529,1.2799706101e-03,1.009502e-02,1.5065927501e+00,0.1379,1.3178e-01
13.126,1.2799715905e-03,1.003531e-02,1.5065927501e+00,0.1379,1.3364e-01
13.723,1.2799735104e-03,9.883304e-03,1.5065927501e+00,0.1379,1.3554e-01
14.319,1.2799751590e-03,9.648790e-03,1.5065927500e+00,0.1379,1.3747e-01
14.916,1.2799750268e-03,9.323293e-03,1.5065927500e+00,0.1379,1.3943e-01
15.513,1.2799722703e-03,8.903781e-03,1.5065927500e+00,0.1379,1.4140e-01
16.109,1.2799678011e-03,8.402467e-03,1.5065927500e+00,0.1379,1.4342e-01
16.706,1.2799645414e-03,7.898625e-03,1.5065927500e+00,0.1379,1.4552e-01
17.303,1.2799661250e-03,7.497554e-03,1.5065927500e+00,0.1379,1.4772e-01
17.899,1.2799744128e-03,7.294918e-03,1.5065927500e+00,0.1379,1.5003e-01
18.496,1.2799873350e-03,7.330296e-03,1.5065927500e+00,0.1379,1.5247e-01
19.093,1.2799987544e-03,7.553178e-03,1.5065927500e+00,0.1379,1.5506e-01
19.689,1.2800010946e-03,7.851750e-03,1.5065927500e+00,0.1379,1.5781e-01
20.286,1.2799895661e-03,8.128519e-03,1.5065927500e+00,0.1379,1.6071e-01
20.882,1.2799658884e-03,8.299466e-03,1.5065927500e+00,0.1379,1.6374e-01
21.479,1.2799394005e-03,8.339623e-03,1.5065927500e+00,0.1379,1.6684e-01
22.076,1.2799239500e-03,8.287153e-03,1.5065927500e+00,0.1379,1.6990e-01
22.672,1.2799312015e-03,8.210529e-03,1.5065927500e+00,0.1379,1.7281e-01
23.269,1.2799637207e-03,8.170812e-03,1.5065927500e+00,0.1379,1.7547e-01
23.866,1.2800117740e-03,8.254495e-03,1.5065927500e+00,0.1379,1.7795e-01
24.462,1.2800558998e-03,8.467666e-03,1.5065927500e+00,0.1379,1.7961e-01
25.059,1.2800744478e-03,8.777205e-03,1.5065927500e+00,0.1379,1.7348e-01
25.656,1.2800530568e-03,9.146681e-03,1.5065927500e+00,0.1379,1.5792e-01
26.252,1.2799921155e-03,9.545997e-03,1.5065927500e+00,0.1379,1.4799e-01
26.849,1.2799090035e-03,9.948934e-03,1.5065927500e+00,0.1379,1.5418e-01
27.445,1.2798339115e-03,1.032987e-02,1.5065927500e+00,0.1379,1.5942e-01
28.042,1.2798003789e-03,1.067279e-02,1.5065927500e+00,0.1379,1.6359e-01
28.639,1.2798337842e-03,1.097009e-02,1.5065927500e+00,0.1379,1.6660e-01
29.235,1.2799413344e-03,1.122004e-02,1.5065927500e+00,0.1379,1.6830e-01
29.832,1.2801067930e-03,1.142363e-02,1.5065927500e+00,0.1379,1.6911e-01
30.429,1.2802921642e-03,1.158628e-02,1.5065927500e+00,0.1379,1.4978e-01
31.025,1.2804466894e-03,1.171877e-02,1.5065927500e+00,0.1379,1.2088e-01
31.622,1.2805214319e-03,1.183231e-02,1.5065927500e+00,0.1379,1.2762e-01
32.219,1.2804846416e-03,1.193724e-02,1.5065927500e+00,0.1379,1.3368e-01
32.815,1.2803319879e-03,1.203857e-02,1.5065927500e+00,0.1379,1.3898e-01
33.412,1.2800881769e-03,1.213457e-02,1.5065927500e+00,0.1379,1.4346e-01
34.009,1.2797999673e-03,1.222037e-02,1.5065927500e+00,0.0690,1.4713e-01
34.605,1.2795235497e-03,1.229249e-02,1.5065927500e+00,0.0690,1.4986e-01
35.202,1.2793126721e-03,1.234426e-02,1.5065927500e+00,0.0690,1.5159e-01
35.798,1.2792108861e-03,1.236730e-02,1.5065927500e+00,0.0690,1.5244e-01
36.395,1.2792464949e-03,1.234857e-02,1.5065927500e+00,0.0690,1.5239e-01
36.992,1.2794296975e-03,1.228228e-02,1.5065927500e+00,0.0690,1.5237e-01
37.588,1.2797527239e-03,1.216902e-02,1.5065927500e+00,0.0690,1.5162e-01
38.185,1.2801934178e-03,1.201317e-02,1.5065927500e+00,0.0690,1.5008e-01
38.782,1.2807221614e-03,1.182223e-02,1.5065927500e+00,0.0690,1.4794e-01
