t,rhoc,errD,Mb,fd_fraction,vatm
0.000,1.2799999989e-03,3.848745e-07,1.5063897340e+00,0.0488,0.0000e+00
0.527,1.2795544459e-03,5.054880e-04,1.5063897340e+00,0.0488,3.6973e-02
1.054,1.2791099970e-03,8.893639e-04,1.5063897340e+00,0.0488,4.9612e-02
1.582,1.2786747221e-03,1.161258e-03,1.5063897340e+00,0.0488,6.0258e-02
2.109,1.2782547478e-03,1.404587e-03,1.5063897340e+00,0.0488,8.2526e-02
2.636,1.2778529294e-03,1.662632e-03,1.5063897340e+00,0.0488,8.3445e-02
3.163,1.2774695446e-03,1.960054e-03,1.5063897340e+00,0.0488,8.0306e-02
3.691,1.2771054472e-03,2.286571e-03,1.5063897340e+00,0.0488,8.4756e-02
4.218,1.2767640593e-03,2.639990e-03,1.5063897340e+00,0.0488,8.8585e-02
4.745,1.2764499855e-03,3.021777e-03,1.5063897340e+00,0.0488,9.2060e-02
5.272,1.2761664190e-03,3.410075e-03,1.5063897340e+00,0.0488,9.5166e-02
5.800,1.2759143174e-03,3.798288e-03,1.5063897340e+00,0.0488,9.7919e-02
6.327,1.2756937340e-03,4.174598e-03,1.5063897340e+00,0.0488,1.0040e-01
6.854,1.2755053810e-03,4.532404e-03,1.5063897340e+00,0.0488,1.0263e-01
7.381,1.2753507052e-03,4.876272e-03,1.5063897340e+00,0.0488,1.0458e-01
7.909,1.2752306852e-03,5.194161e-03,1.5063897340e+00,0.0488,1.0630e-01
8.436,1.2751448996e-03,5.476957e-03,1.5063897340e+00,0.0488,1.0797e-01
8.963,1.2750918623e-03,5.718459e-03,1.5063897340e+00,0.0488,1.0963e-01
9.490,1.2750701076e-03,5.903343e-03,1.5063897340e+00,0.0488,1.1131e-01
10.018,1.2750787923e-03,6.021424e-03,1.5063897340e+00,0.0488,1.1302e-01
10.545,1.2751172956e-03,6.064649e-03,1.5063897340e+00,0.0488,1.1479e-01
11.072,1.2751844182e-03,6.044962e-03,1.5063897340e+00,0.0488,1.1661e-01
11.599,1.2752780730e-03,5.976244e-03,1.5063897340e+00,0.0488,1.1849e-01
12.127,1.2753956885e-03,5.865331e-03,1.5063897340e+00,0.0488,1.2042e-01
12.654,1.2755348096e-03,5.710977e-03,1.5063897340e+00,0.0488,1.2239e-01
13.181,1.2756933165e-03,5.518875e-03,1.5063897340e+00,0.0488,1.2440e-01
13.708,1.2758691982e-03,5.322259e-03,1.5063897340e+00,0.0488,1.2651e-01
14.236,1.2760602518e-03,5.193052e-03,1.5063897340e+00,0.0488,1.2875e-01
14.763,1.2762640545e-03,5.194114e-03,1.5063897340e+00,0.0488,1.3109e-01
15.290,1.2764782082e-03,5.348004e-03,1.5063897340e+00,0.0488,1.3354e-01
15.817,1.2767005867e-03,5.615913e-03,1.5063897340e+00,0.0488,1.3606e-01
16.345,1.2769293398e-03,5.917003e-03,1.5063897340e+00,0.0488,1.3848e-01
16.872,1.2771626364e-03,6.177809e-03,1.5063897340e+00,0.0488,1.4064e-01
17.399,1.2773983663e-03,6.332439e-03,1.5063897340e+00,0.0488,1.4246e-01
17.926,1.2776340921e-03,6.359826e-03,1.5063897340e+00,0.0488,1.4386e-01
18.454,1.2778674119e-03,6.284840e-03,1.5063897340e+00,0.0488,1.4492e-01
18.981,1.2780965697e-03,6.152818e-03,1.5063897340e+00,0.0488,1.4576e-01
19.508,1.2783208540e-03,6.025595e-03,1.5063897340e+00,0.0488,1.4635e-01
20.035,1.2785403505e-03,5.956381e-03,1.5063897340e+00,0.0488,1.4483e-01
20.563,1.2787550405e-03,5.956238e-03,1.5063897340e+00,0.0488,1.3401e-01
21.090,1.2789638254e-03,6.015353e-03,1.5063897340e+00,0.0488,1.1543e-01
21.617,1.2791643029e-03,6.121745e-03,1.5063897340e+00,0.0488,1.1422e-01
22.144,1.2793536985e-03,6.259370e-03,1.5063897340e+00,0.0488,1.1944e-01
22.672,1.2795304703e-03,6.414213e-03,1.5063897340e+00,0.0488,1.2366e-01
23.199,1.2796954203e-03,6.571416e-03,1.5063897340e+00,0.0488,1.2687e-01
23.726,1.2798512575e-03,7.902034e-03,1.5063897340e+00,0.0976,1.2919e-01
24.253,1.2800006141e-03,7.960778e-03,1.5063897340e+00,0.0976,1.2367e-01
24.781,1.2801437079e-03,6.957372e-03,1.5063897340e+00,0.0488,9.8659e-02
25.308,1.2802773671e-03,7.023145e-03,1.5063897340e+00,0.0488,9.4568e-02
25.835,1.2803964652e-03,7.066355e-03,1.5063897340e+00,0.0488,9.9819e-02
26.362,1.2804972397e-03,7.100234e-03,1.5063897340e+00,0.0488,1.0431e-01
26.890,1.2805805396e-03,7.139510e-03,1.5063897340e+00,0.0488,1.0805e-01
27.417,1.2806526698e-03,7.193501e-03,1.5063897340e+00,0.0488,1.1105e-01
27.944,1.2807228120e-03,7.264402e-03,1.5063897340e+00,0.0488,1.1332e-01
28.471,1.2807981450e-03,7.350313e-03,1.5063897340e+00,0.0488,1.1490e-01
28.999,1.2808792305e-03,7.446131e-03,1.5063897340e+00,0.0488,1.1582e-01
29.526,1.2809583677e-03,7.543941e-03,1.5063897340e+00,0.0488,1.1612e-01
30.053,1.2810222508e-03,7.634607e-03,1.5063897340e+00,0.0488,1.1599e-01
30.580,1.2810578456e-03,7.708728e-03,1.5063897340e+00,0.0488,1.1564e-01
31.108,1.2810590098e-03,7.758968e-03,1.5063897340e+00,0.0488,1.1522e-01
31.635,1.2810311456e-03,7.781700e-03,1.5063897340e+00,0.0488,1.1486e-01
32.162,1.2809917910e-03,7.777182e-03,1.5063897340e+00,0.0488,1.1461e-01
32.689,1.2809659990e-03,7.749533e-03,1.5063897340e+00,0.0488,1.1448e-01
33.217,1.2809773686e-03,7.707039e-03,1.5063897340e+00,0.0488,1.1446e-01
33.744,1.2810379774e-03,7.662401e-03,1.5063897340e+00,0.0488,1.1454e-01
34.271,1.2811413510e-03,7.628108e-03,1.5063897340e+00,0.0488,1.1468e-01
34.798,1.2812619574e-03,7.615120e-03,1.5063897340e+00,0.0488,1.1488e-01
35.326,1.2813622491e-03,7.630833e-03,1.5063897340e+00,0.0488,1.1613e-01
35.853,1.2814046393e-03,7.677196e-03,1.5063897340e+00,0.0488,1.1668e-01
36.380,1.2813637166e-03,7.749043e-03,1.5063897340e+00,0.0488,1.1898e-01
36.907,1.2812345961e-03,7.835189e-03,1.5063897340e+00,0.0488,1.2611e-01
37.435,1.2810349966e-03,7.920778e-03,1.5063897340e+00,0.0488,1.3325e-01
37.962,1.2808007272e-03,7.990174e-03,1.5063897340e+00,0.0488,1.4036e-01
38.489,1.2805765794e-03,8.029162e-03,1.5063897340e+00,0.0488,1.4741e-01
39.016,1.2804064745e-03,8.027262e-03,1.5063897340e+00,0.0488,1.5436e-01
39.544,1.2803257245e-03,7.979212e-03,1.5063897340e+00,0.0488,1.6111e-01
